File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0069_2.fastq.gz.filter_k20_s1_4	1897473	681001	0.358899
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271125_1.fastq.gz.filter_k20_s1_4	2586688	55430	0.0214289
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0211_2.fastq.gz.filter_k20_s1_4	4455561	1054340	0.236635
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0759_2.fastq.gz.filter_k20_s1_4	2069770	404467	0.195416
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0057_1.fastq.gz.filter_k20_s1_4	4703423	3606011	0.766678
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0651_2.fastq.gz.filter_k20_s1_4	2169668	170065	0.078383
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0061_2.fastq.gz.filter_k20_s1_4	1935950	645651	0.333506
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0342_2.fastq.gz.filter_k20_s1_4	4417340	2715784	0.614801
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0744_1.fastq.gz.filter_k20_s1_4	2223613	479213	0.215511
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271095_1.fastq.gz.filter_k20_s1_4	2615284	50017	0.0191249
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0246_2.fastq.gz.filter_k20_s1_4	4198144	1074298	0.255898
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0040_1.fastq.gz.filter_k20_s1_4	2087504	1044488	0.500353
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0475_2.fastq.gz.filter_k20_s1_4	1967302	302764	0.153898
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0455_2.fastq.gz.filter_k20_s1_4	1978831	346370	0.175038
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0661_1.fastq.gz.filter_k20_s1_4	5046126	1159227	0.229726
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0003_1.fastq.gz.filter_k20_s1_4	2104568	1382228	0.656775
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0370_1.fastq.gz.filter_k20_s1_4	4883684	794104	0.162603
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271173_2.fastq.gz.filter_k20_s1_4	2261304	117953	0.0521615
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271127_1.fastq.gz.filter_k20_s1_4	2519998	58323	0.0231441
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0444_1.fastq.gz.filter_k20_s1_4	2152844	436421	0.202718
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17DB4959/H3MGVCCXY/4959-DB-0090.R1.fastq.gz.filter_k20_s1_4	4725083	1157361	0.24494
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0763_2.fastq.gz.filter_k20_s1_4	2050505	449741	0.219332
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0783_2.fastq.gz.filter_k20_s1_4	2026329	379645	0.187356
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0430_2.fastq.gz.filter_k20_s1_4	2034649	273360	0.134352
