File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0211_2.fastq.gz.filter_k20_s2_4	4455561	641934	0.144075
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0069_2.fastq.gz.filter_k20_s2_4	1897473	416862	0.219693
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271125_1.fastq.gz.filter_k20_s2_4	2586688	28926	0.0111826
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0759_2.fastq.gz.filter_k20_s2_4	2069770	71638	0.0346116
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0057_1.fastq.gz.filter_k20_s2_4	4703423	3291051	0.699714
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0651_2.fastq.gz.filter_k20_s2_4	2169668	43727	0.0201538
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0061_2.fastq.gz.filter_k20_s2_4	1935950	469435	0.242483
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0342_2.fastq.gz.filter_k20_s2_4	4417340	2358828	0.533993
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0744_1.fastq.gz.filter_k20_s2_4	2223613	119232	0.0536208
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271095_1.fastq.gz.filter_k20_s2_4	2615284	27711	0.0105958
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0246_2.fastq.gz.filter_k20_s2_4	4198144	638949	0.152198
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0040_1.fastq.gz.filter_k20_s2_4	2087504	854161	0.409178
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0475_2.fastq.gz.filter_k20_s2_4	1967302	58823	0.0299003
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0661_1.fastq.gz.filter_k20_s2_4	5046126	460081	0.0911751
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0455_2.fastq.gz.filter_k20_s2_4	1978831	84373	0.0426378
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0370_1.fastq.gz.filter_k20_s2_4	4883684	168709	0.0345454
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0003_1.fastq.gz.filter_k20_s2_4	2104568	1128581	0.536253
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271173_2.fastq.gz.filter_k20_s2_4	2261304	50244	0.022219
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17DB4959/H3MGVCCXY/4959-DB-0090.R1.fastq.gz.filter_k20_s2_4	4725083	248765	0.0526478
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271127_1.fastq.gz.filter_k20_s2_4	2519998	27591	0.0109488
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0444_1.fastq.gz.filter_k20_s2_4	2152844	110816	0.0514742
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0226_2.fastq.gz.filter_k20_s2_4	4133784	1056296	0.255528
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0763_2.fastq.gz.filter_k20_s2_4	2050505	136796	0.0667133
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0783_2.fastq.gz.filter_k20_s2_4	2026329	90564	0.0446936
