File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
File	Total reads	Remaining reads	Remaining ratio
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0069_2.fastq.gz.filter_k20_s15_4	1897473	8662	0.00456502
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0211_2.fastq.gz.filter_k20_s15_4	4455561	18090	0.00406009
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271125_1.fastq.gz.filter_k20_s15_4	2586688	11134	0.00430435
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0057_1.fastq.gz.filter_k20_s15_4	4703423	2001407	0.425521
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0759_2.fastq.gz.filter_k20_s15_4	2069770	3401	0.00164318
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0651_2.fastq.gz.filter_k20_s15_4	2169668	2995	0.0013804
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0342_2.fastq.gz.filter_k20_s15_4	4417340	1206692	0.273172
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0061_2.fastq.gz.filter_k20_s15_4	1935950	32202	0.0166337
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0246_2.fastq.gz.filter_k20_s15_4	4198144	32798	0.0078125
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0744_1.fastq.gz.filter_k20_s15_4	2223613	27900	0.0125471
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271095_1.fastq.gz.filter_k20_s15_4	2615284	11836	0.0045257
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0661_1.fastq.gz.filter_k20_s15_4	5046126	49025	0.00971537
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCVMTCCXY/5106-CEM-0040_1.fastq.gz.filter_k20_s15_4	2087504	436679	0.209187
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H75CGCCXY/4890-CEM-0370_1.fastq.gz.filter_k20_s15_4	4883684	33963	0.00695438
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0475_2.fastq.gz.filter_k20_s15_4	1967302	2002	0.00101764
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0455_2.fastq.gz.filter_k20_s15_4	1978831	12320	0.0062259
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17DB4959/H3MGVCCXY/4959-DB-0090.R1.fastq.gz.filter_k20_s15_4	4725083	2012	0.000425813
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5JCCXY/5106-CEM-0003_1.fastq.gz.filter_k20_s15_4	2104568	39264	0.0186566
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2016/haib17CEM4890/H3KHWCCXY/4890-CEM-0226_2.fastq.gz.filter_k20_s15_4	4133784	43979	0.0106389
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271173_2.fastq.gz.filter_k20_s15_4	2261304	11496	0.00508379
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCV72CCXY/5106-CEM-0121_2.fastq.gz.filter_k20_s15_4	4221390	1075688	0.254818
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL271127_1.fastq.gz.filter_k20_s15_4	2519998	9487	0.00376469
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCCGHCCXY/5106-CEM-0444_1.fastq.gz.filter_k20_s15_4	2152844	24507	0.0113835
/cluster/work/grlab/projects/metagenome/benchmark_metasub/csd_2017/haib17CEM5106/HCY5HCCXY/SL270936_2.fastq.gz.filter_k20_s15_4	4208320	1564067	0.371661
